DEBUG | 2024-11-06 17:21:12,826 | 8
DEBUG | 2024-11-06 17:21:12,827 | Read value: daniel
DEBUG | 2024-11-06 17:21:12,827 | 9
DEBUG | 2024-11-06 17:21:12,827 | Read value: daniel
DEBUG | 2024-11-06 17:21:12,827 | 10
DEBUG | 2024-11-06 17:21:12,827 | Read value: daniel
DEBUG | 2024-11-06 17:21:12,828 | Write completed.
DEBUG | 2024-11-06 17:21:12,829 | Read value: dani
DEBUG | 2024-11-06 17:22:41,187 | writer is waiting
DEBUG | 2024-11-06 17:22:41,187 | 1
DEBUG | 2024-11-06 17:22:41,187 | 2
DEBUG | 2024-11-06 17:22:41,187 | 3
DEBUG | 2024-11-06 17:22:41,187 | 4
DEBUG | 2024-11-06 17:22:41,187 | 5
DEBUG | 2024-11-06 17:22:41,187 | 6
DEBUG | 2024-11-06 17:22:41,187 | 7
DEBUG | 2024-11-06 17:22:41,187 | 8
DEBUG | 2024-11-06 17:22:41,187 | 9
DEBUG | 2024-11-06 17:22:41,188 | 10
DEBUG | 2024-11-06 17:22:41,189 | Write completed.
DEBUG | 2024-11-06 17:22:41,190 | writer is waiting
DEBUG | 2024-11-06 17:22:41,191 | 1
DEBUG | 2024-11-06 17:22:41,191 | 2
DEBUG | 2024-11-06 17:22:41,191 | 3
DEBUG | 2024-11-06 17:22:41,191 | 4
DEBUG | 2024-11-06 17:22:41,191 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,192 | 5
DEBUG | 2024-11-06 17:22:41,192 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,192 | 6
DEBUG | 2024-11-06 17:22:41,192 | 7
DEBUG | 2024-11-06 17:22:41,192 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,192 | 8
DEBUG | 2024-11-06 17:22:41,192 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,192 | 9
DEBUG | 2024-11-06 17:22:41,193 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,193 | 10
DEBUG | 2024-11-06 17:22:41,193 | Read value: daniel
DEBUG | 2024-11-06 17:22:41,193 | Write completed.
DEBUG | 2024-11-06 17:22:41,194 | Read value: dani
DEBUG | 2024-11-06 17:24:12,746 | writer is waiting
DEBUG | 2024-11-06 17:24:12,746 | 1
DEBUG | 2024-11-06 17:24:12,746 | 2
DEBUG | 2024-11-06 17:24:12,746 | 3
DEBUG | 2024-11-06 17:24:12,746 | 4
DEBUG | 2024-11-06 17:24:12,746 | 5
DEBUG | 2024-11-06 17:24:12,746 | 6
DEBUG | 2024-11-06 17:24:12,746 | 7
DEBUG | 2024-11-06 17:24:12,746 | 8
DEBUG | 2024-11-06 17:24:12,746 | 9
DEBUG | 2024-11-06 17:24:12,747 | 10
DEBUG | 2024-11-06 17:24:12,748 | Write completed.
DEBUG | 2024-11-06 17:24:12,749 | writer is waiting
DEBUG | 2024-11-06 17:24:12,749 | 1
DEBUG | 2024-11-06 17:24:12,749 | 2
DEBUG | 2024-11-06 17:24:12,749 | 3
DEBUG | 2024-11-06 17:24:12,749 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,750 | 4
DEBUG | 2024-11-06 17:24:12,750 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,750 | 5
DEBUG | 2024-11-06 17:24:12,750 | 6
DEBUG | 2024-11-06 17:24:12,750 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,750 | 7
DEBUG | 2024-11-06 17:24:12,750 | 8
DEBUG | 2024-11-06 17:24:12,750 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,750 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,751 | 9
DEBUG | 2024-11-06 17:24:12,751 | 10
DEBUG | 2024-11-06 17:24:12,751 | Read value: daniel
DEBUG | 2024-11-06 17:24:12,751 | Write completed.
DEBUG | 2024-11-06 17:24:12,752 | Read value: dani
DEBUG | 2024-11-06 17:25:28,704 | writer is waiting
DEBUG | 2024-11-06 17:25:28,704 | 1
DEBUG | 2024-11-06 17:25:28,704 | 2
DEBUG | 2024-11-06 17:25:28,704 | 3
